# Monthly Fama-French 3 factors (decimals, not %). Source: Kenneth R. French Data Library.
# https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html
ym,Mkt-RF,SMB,HML,RF
200001,-0.047400,0.051600,-0.011200,0.004100
200002,0.024600,0.212500,-0.097700,0.004300
200003,0.052100,-0.174100,0.085000,0.004700
200004,-0.063900,-0.060000,0.064500,0.004600
200005,-0.043900,-0.060800,0.045900,0.005000
200006,0.046800,0.127100,-0.080400,0.004000
200007,-0.024800,-0.028400,0.080600,0.004800
200008,0.070300,-0.005000,-0.013700,0.005000
200009,-0.054400,-0.017400,0.072400,0.005100
200010,-0.027800,-0.038500,0.055800,0.005600
200011,-0.107000,-0.030800,0.122400,0.005100
200012,0.011800,0.008200,0.075500,0.005000
200101,0.032500,0.064100,-0.050500,0.005400
200102,-0.100300,-0.006500,0.122300,0.003800
200103,-0.072500,0.002600,0.064700,0.004200
200104,0.079300,0.005000,-0.046400,0.003900
200105,0.006800,0.024800,0.033800,0.003200
200106,-0.019400,0.063500,-0.012600,0.002800
200107,-0.021300,-0.040500,0.049500,0.003000
200108,-0.064000,0.021900,0.028600,0.003100
200109,-0.092400,-0.062300,0.015200,0.002800
200110,0.024800,0.074900,-0.073100,0.002200
200111,0.075300,-0.005700,0.021700,0.001700
200112,0.016100,0.047200,0.008300,0.001500
200201,-0.014400,0.011700,0.034200,0.001400
200202,-0.023000,-0.010800,0.023400,0.001300
200203,0.042400,0.040900,0.010800,0.001300
200204,-0.052100,0.058200,0.040100,0.001500
200205,-0.013600,-0.032700,0.015200,0.001400
200206,-0.072300,0.040800,0.003700,0.001300
200207,-0.081900,-0.052500,-0.035100,0.001500
200208,0.005000,-0.028000,0.030100,0.001400
200209,-0.103400,0.024200,0.012600,0.001400
200210,0.078400,-0.034000,-0.037600,0.001400
200211,0.059600,0.032600,-0.011600,0.001200
200212,-0.057600,-0.000400,0.021100,0.001100
200301,-0.025700,0.013400,-0.007900,0.001000
200302,-0.018800,-0.004400,-0.013600,0.000900
200303,0.010900,0.011700,-0.021100,0.001000
200304,0.081800,0.007600,0.012200,0.001000
200305,0.060500,0.046100,0.007000,0.000900
200306,0.014200,0.017000,0.001400,0.001000
200307,0.023300,0.049300,-0.015300,0.000700
200308,0.023300,0.024400,0.016400,0.000700
200309,-0.012400,0.008500,0.001400,0.000800
200310,0.060800,0.025900,0.022100,0.000700
200311,0.013500,0.020600,0.017200,0.000700
200312,0.042900,-0.026800,0.015100,0.000800
200401,0.021500,0.025400,0.024200,0.000700
200402,0.014000,-0.015700,0.009500,0.000600
200403,-0.013200,0.017300,0.002300,0.000900
200404,-0.018100,-0.017300,-0.032300,0.000800
200405,0.011800,-0.002300,-0.001800,0.000600
200406,0.018500,0.022500,0.012100,0.000800
200407,-0.040400,-0.037600,0.032200,0.001000
200408,0.000700,-0.015200,0.010800,0.001100
200409,0.016000,0.030100,-0.000500,0.001100
200410,0.014200,0.001300,-0.002600,0.001100
200411,0.045300,0.037400,0.015700,0.001500
200412,0.034200,-0.000300,-0.002300,0.001600
200501,-0.027500,-0.016600,0.020600,0.001600
200502,0.018800,-0.005700,0.014100,0.001600
200503,-0.019400,-0.014100,0.020700,0.002100
200504,-0.026100,-0.039300,0.000500,0.002100
200505,0.036500,0.028600,-0.005800,0.002400
200506,0.005800,0.025600,0.028000,0.002300
200507,0.039200,0.028700,-0.007800,0.002400
200508,-0.012000,-0.010700,0.013400,0.003000
200509,0.004800,-0.006200,0.007800,0.002900
200510,-0.020400,-0.013000,0.004300,0.002700
200511,0.036100,0.010500,-0.011900,0.003100
200512,-0.002400,-0.004400,0.001500,0.003200
200601,0.030300,0.054600,0.009900,0.003500
200602,-0.003000,-0.004100,-0.003100,0.003400
200603,0.014700,0.033900,0.006100,0.003700
200604,0.007300,-0.013800,0.022600,0.003600
200605,-0.035600,-0.030100,0.023800,0.004300
200606,-0.003500,-0.003500,0.008500,0.004000
200607,-0.007700,-0.039500,0.026200,0.004000
200608,0.020300,0.009900,-0.019500,0.004200
200609,0.018400,-0.013000,0.000600,0.004100
200610,0.032200,0.017700,-0.003300,0.004100
200611,0.017000,0.006300,0.000400,0.004200
200612,0.008500,-0.011600,0.027400,0.004000
200701,0.013800,0.000900,-0.006800,0.004400
200702,-0.019600,0.012300,-0.000800,0.003800
200703,0.007100,0.000900,-0.008800,0.004300
200704,0.034900,-0.022100,-0.014400,0.004400
200705,0.032300,0.001600,-0.005900,0.004100
200706,-0.019600,0.007300,-0.010500,0.004000
200707,-0.037200,-0.026600,-0.036800,0.004000
200708,0.009400,-0.001100,-0.018700,0.004200
200709,0.032200,-0.022500,-0.021700,0.003200
200710,0.017900,0.001900,-0.028700,0.003200
200711,-0.048000,-0.028100,-0.010900,0.003400
200712,-0.008700,0.001100,-0.005100,0.002700
200801,-0.063300,-0.010200,0.040000,0.002100
200802,-0.030900,-0.004800,-0.007200,0.001300
200803,-0.009400,0.007100,0.003100,0.001700
200804,0.046100,-0.016900,-0.009600,0.001800
200805,0.018700,0.029700,-0.015000,0.001800
200806,-0.084300,0.011500,-0.025100,0.001700
200807,-0.007500,0.026000,0.052000,0.001500
200808,0.015300,0.034000,0.015200,0.001300
200809,-0.093500,-0.010700,0.056600,0.001500
200810,-0.172000,-0.023100,-0.018900,0.000800
200811,-0.077400,-0.030100,-0.062100,0.000300
200812,0.017700,0.035200,0.000500,0.000000
200901,-0.080900,0.000400,-0.110200,0.000000
200902,-0.101400,0.001400,-0.066000,0.000100
200903,0.090100,-0.001000,0.034800,0.000200
200904,0.101700,0.054000,0.053800,0.000100
200905,0.052100,-0.024100,0.004100,0.000000
200906,0.004200,0.025800,-0.027600,0.000100
200907,0.077400,0.017500,0.048900,0.000100
200908,0.033300,-0.011200,0.076000,0.000100
200909,0.040800,0.024300,0.011500,0.000100
200910,-0.025300,-0.042600,-0.041700,0.000000
